000000000---4 instance :1140, 8 instance :57
000000001---4 instance :16, 8 instance :0
000000010---4 instance :753, 8 instance :193
000000100---4 instance :0, 8 instance :4
000000110---4 instance :0, 8 instance :1
000001000---4 instance :68, 8 instance :7
000001001---4 instance :2, 8 instance :0
000001010---4 instance :59, 8 instance :13
000001100---4 instance :0, 8 instance :2
000010000---4 instance :1315, 8 instance :443
000010001---4 instance :30, 8 instance :5
000010010---4 instance :1269, 8 instance :2958
000010011---4 instance :2, 8 instance :12
000010100---4 instance :0, 8 instance :15
000010110---4 instance :0, 8 instance :27
000011000---4 instance :144, 8 instance :26
000011001---4 instance :2, 8 instance :0
000011010---4 instance :103, 8 instance :72
000011110---4 instance :0, 8 instance :1
000100000---4 instance :80, 8 instance :0
000100001---4 instance :7, 8 instance :1
000100010---4 instance :30, 8 instance :0
000101000---4 instance :14, 8 instance :0
000101001---4 instance :2, 8 instance :0
000101010---4 instance :3, 8 instance :0
000110000---4 instance :125, 8 instance :6
000110001---4 instance :14, 8 instance :2
000110010---4 instance :43, 8 instance :10
000110011---4 instance :0, 8 instance :1
000111000---4 instance :29, 8 instance :1
000111001---4 instance :4, 8 instance :1
000111010---4 instance :13, 8 instance :1
001000000---4 instance :94, 8 instance :2
001000010---4 instance :67, 8 instance :6
001001000---4 instance :3, 8 instance :0
001001001---4 instance :1, 8 instance :0
001001010---4 instance :3, 8 instance :0
001010000---4 instance :73, 8 instance :43
001010010---4 instance :45, 8 instance :79
001010011---4 instance :0, 8 instance :1
001010100---4 instance :0, 8 instance :2
001010110---4 instance :0, 8 instance :1
001011000---4 instance :10, 8 instance :1
001011010---4 instance :5, 8 instance :1
001100000---4 instance :6, 8 instance :0
001100010---4 instance :4, 8 instance :0
001101000---4 instance :1, 8 instance :0
001110000---4 instance :6, 8 instance :0
001110010---4 instance :6, 8 instance :0
001111000---4 instance :1, 8 instance :0
001111010---4 instance :3, 8 instance :0
010000000---4 instance :90, 8 instance :9
010000001---4 instance :1, 8 instance :0
010000010---4 instance :41, 8 instance :58
010000100---4 instance :0, 8 instance :1
010001000---4 instance :9, 8 instance :0
010001010---4 instance :5, 8 instance :1
010010000---4 instance :40, 8 instance :77
010010001---4 instance :0, 8 instance :2
010010010---4 instance :33, 8 instance :1636
010010011---4 instance :0, 8 instance :5
010010100---4 instance :0, 8 instance :3
010010110---4 instance :0, 8 instance :3
010011000---4 instance :4, 8 instance :1
010011001---4 instance :0, 8 instance :1
010011010---4 instance :4, 8 instance :42
010011110---4 instance :0, 8 instance :2
010100010---4 instance :1, 8 instance :0
010110000---4 instance :1, 8 instance :3
010110010---4 instance :0, 8 instance :2
010110011---4 instance :0, 8 instance :1
010111000---4 instance :0, 8 instance :1
010111010---4 instance :0, 8 instance :2
011000000---4 instance :3, 8 instance :0
011000010---4 instance :3, 8 instance :0
011001010---4 instance :1, 8 instance :0
011010000---4 instance :0, 8 instance :1
011010010---4 instance :0, 8 instance :5
100000000---4 instance :1, 8 instance :0
100000001---4 instance :1, 8 instance :0
100001000---4 instance :2, 8 instance :0
100010000---4 instance :3, 8 instance :0
100010001---4 instance :1, 8 instance :0
100101000---4 instance :1, 8 instance :0
100101010---4 instance :1, 8 instance :0
100110000---4 instance :1, 8 instance :0
